Date,asset_return,asset_name,price_eur,HICP,HICP_YoY,HICP_MoM,HICP_12m_avg,high_inflation,roll_corr_12m
2014-08-31,0.0502969989615376,VUSA,24.414501190185547,77.46,0.3627882871209964,0.1163241566498607,0.6553712017982771,0,-0.4145526444224697
2014-09-30,0.0340932155125337,VUSA,25.246870040893555,77.8,0.3223726627981982,0.4389362251484785,0.5920809153561043,0,-0.3864606753816957
2014-10-31,0.0223762375788825,VUSA,25.81180000305176,77.75,0.3743867802737055,-0.0642673521850878,0.5625949415839419,0,-0.5225732044940805
2014-11-30,0.0408281586900938,VUSA,26.86564826965332,77.61,0.2842744540638264,-0.1800643086816711,0.5156998212695219,0,-0.7048212184885769
2014-12-31,0.0312387981913389,VUSA,27.70489883422852,77.54,-0.1673747907815048,-0.0901945625563671,0.4314238687182448,0,-0.5483967047173769
2015-01-31,0.0354866589752835,VUSA,28.68805313110352,76.34,-0.5989583333333215,-1.5475883415011604,0.3180977467832043,0,-0.39834546260380843
2015-02-28,0.0603806898063015,VUSA,30.42025756835937,76.81,-0.2985462097611635,0.615666753995292,0.2343953665580091,0,-0.5381224288172697
2015-03-31,0.0307764586265602,VUSA,31.35648536682129,77.71,-0.0643004115226442,1.1717224319749864,0.1902773090086407,0,-0.500184534548499
2015-04-30,-0.0297234843501109,VUSA,30.424461364746094,78.04,0.2054442732408956,0.4246557714580046,0.1481278690001475,1,-0.23247954673234647
2015-05-31,0.024809575216379,VUSA,31.179279327392575,78.26,0.6041907700218507,0.2819067145053866,0.1575693790412594,1,-0.29723527829460056
2015-06-30,-0.0349074890061872,VUSA,30.09088897705078,78.27,0.500770416024654,0.0127779197546473,0.1584400319895503,1,-0.3926271814895103
2015-07-31,0.0350301579103631,VUSA,31.14497756958008,77.79,0.5428460643660316,-0.6132617861249412,0.1723244968759603,1,-0.3273964176389921
2015-08-31,-0.0755453294023162,VUSA,28.7921199798584,77.79,0.4260263361735239,0.0,0.1775943342970043,1,-0.41630961882706574
2015-09-30,-0.0276645218799972,VUSA,27.9955997467041,77.96,0.2056555269922766,0.2185370870291691,0.1678679063131775,1,-0.43404525692829743
2015-10-31,0.1063925503058811,VUSA,30.974123001098636,78.05,0.385852090032146,0.1154438173422311,0.1688233487930475,1,-0.2672377903925816
2015-11-30,0.0444036560305542,VUSA,32.3494873046875,77.72,0.1417343125885928,-0.4228058936579071,0.1569450036701114,0,-0.28488577537101517
2015-12-31,-0.036857458010543,VUSA,31.157167434692383,77.73,0.2450348207376773,0.0128667009778649,0.1913124712967099,1,-0.27284100737295597
2016-01-31,-0.0662161135536357,VUSA,29.09406089782715,76.58,0.3143830233167444,-1.4794802521549075,0.2674242510175488,1,-0.24118286379522544
2016-02-29,0.0186113935750662,VUSA,29.635541915893555,76.71,-0.1301913813305688,0.1697571167406542,0.2814538200534316,0,-0.08497761506244807
2016-03-31,0.007970042141111,VUSA,29.87173843383789,77.67,-0.0514734268433847,1.251466562377801,0.28252273544337,0,-0.025201736440338966
2016-04-30,-0.0082515643243507,VUSA,29.6252498626709,77.84,-0.2562788313685282,0.2188747264066037,0.2440458100592513,0,-0.010206416060709086
2016-05-31,0.0510007524386655,VUSA,31.136159896850582,78.16,-0.1277791975466513,0.4110996916752318,0.1830483127618761,0,-0.1821640395677518
2016-06-30,-0.0024211735683855,VUSA,31.060773849487305,78.3,0.0383288616328192,0.1791197543500544,0.1445115165625565,0,-0.10702231839244036
2016-07-31,0.0383301818242556,VUSA,32.251338958740234,77.92,0.1671165959634901,-0.485312899105994,0.1132007275290114,1,-0.21432963492731968
2016-08-31,0.0012970615039691,VUSA,32.29317092895508,77.97,0.2313922097956,0.0641683778234147,0.0969812169975177,1,-0.010832321890156432
2016-09-30,-0.005708490063329,VUSA,32.10882568359375,78.27,0.3976398152898852,0.3847633705271303,0.1129799076889851,1,-0.02052548730125931
2016-10-31,0.0081266359483795,VUSA,32.3697624206543,78.45,0.5124919923126248,0.229973169796871,0.123533232879025,1,-0.33329536277277727
2016-11-30,0.0764488855687304,VUSA,34.84439468383789,78.17,0.5790015440041207,-0.3569152326322489,0.159972168830319,1,0.02258672430554007
2016-12-31,0.0204984558664866,VUSA,35.558650970458984,78.58,1.0935288820275169,0.5244978892158025,0.230680007271139,1,0.1009091419355313
2017-01-31,-0.0120449666453431,VUSA,35.130348205566406,77.91,1.7367458866544672,-0.8526342580809421,0.3492102458826159,1,-0.12079200421865097
2017-02-28,0.0631133397978762,VUSA,37.34754180908203,78.21,1.9554165037152904,0.3850596842510656,0.5230109029697708,1,0.20265764922288707
2017-03-31,-0.0049593307099562,VUSA,37.16232299804688,78.87,1.5449980687524123,0.8438818565400963,0.6560501942694207,1,0.06982590691051757
2017-04-30,-0.0117454741795217,VUSA,36.725833892822266,79.31,1.8884892086330929,0.557880055788007,0.8347808642695558,1,-0.1674381660509584
2017-05-31,-0.0194877006461831,VUSA,36.0101318359375,79.25,1.394575230296824,-0.0756525028369758,0.961643733256512,1,-0.10183460703545508
2017-06-30,-0.0064046636383667,VUSA,35.77949905395508,79.32,1.3026819923371624,0.0883280757097759,1.0670064941485409,1,-0.19783079484393434
2017-07-31,-0.011829032214386,VUSA,35.35626220703125,78.96,1.3347022587268942,-0.4538577912254204,1.1643052993788243,1,-0.11363428383979671
2017-08-31,-0.0082068897953828,VUSA,35.066097259521484,79.17,1.539053482108499,0.265957446808529,1.2732770720715658,1,-0.19055881605824673
2017-09-30,0.0267628566178874,VUSA,36.00456619262695,79.49,1.5587070397342415,0.4041935076417813,1.3700326741085955,1,-0.27747143894837256
2017-10-31,0.0395823181963093,VUSA,37.4297103881836,79.53,1.3766730401529648,0.0503207950685702,1.4420477614286238,0,-0.36017973101920137
2017-11-30,0.0055923507339095,VUSA,37.63903045654297,79.36,1.5223231418702854,-0.2137558154155727,1.5206578945841376,1,0.1858580825612007
2017-12-31,0.0078699920927112,VUSA,37.93524932861328,79.64,1.3489437515907363,0.3528225806451734,1.541942467047739,0,0.3152195809579175
2018-01-31,0.0188603788748311,VUSA,38.65072250366211,78.92,1.2963676036452432,-0.9040683073832212,1.5052442767969705,0,0.34136675544231415
2018-02-28,-0.0110606387351825,VUSA,38.22322082519531,79.09,1.1251758087201358,0.2154080081094855,1.4360575522140409,0,-0.06030726178500546
2018-03-31,-0.0460197157920747,VUSA,36.46419906616211,79.97,1.3947001394700065,1.112656467315709,1.4235327247738403,0,-0.0013327343897185846
2018-04-30,0.0361487250952543,VUSA,37.78233337402344,80.29,1.2356575463371655,0.4001500562711202,1.3691300862491798,0,0.00965793457003768
2018-05-31,0.0523082036571176,VUSA,39.75865936279297,80.79,1.94321766561516,0.6227425582264301,1.4148502891923749,1,0.4112972981250791
2018-06-30,0.00988429448844,VUSA,40.15164566040039,80.88,1.9667170953101327,0.1113999257333686,1.4701865477734557,1,0.31306680512882706
2018-07-31,0.0258845340839919,VUSA,41.19095230102539,80.7,2.20364741641339,-0.2225519287833766,1.5425986442473305,1,0.313307357780014
2018-08-31,0.0394763418760264,VUSA,42.817020416259766,80.82,2.084122773777941,0.148698884758347,1.5880210852197838,1,0.39456953404136363
2018-09-30,0.007126282660941,VUSA,43.12214660644531,81.14,2.0757327965782,0.3959415986142245,1.63110656495678,1,0.3363732508875249
2018-10-31,-0.0431916881955151,VUSA,41.25962829589844,81.34,2.275870740601027,0.2464875523786158,1.7060397066607855,1,0.09238070412956044
2018-11-30,0.0091245680921274,VUSA,41.63610458374024,80.89,1.927923387096775,-0.5532333415293911,1.7398397270963262,1,0.08851089104584539
2018-12-31,-0.0922119847122974,VUSA,37.796756744384766,80.85,1.5193370165745843,-0.0494498701940959,1.75403916584498,0,0.18819848243773576
2019-01-31,0.0765751131412155,VUSA,40.69104766845703,80.01,1.38114546376078,-1.0389610389610282,1.7611039875212748,0,0.07341898493933798
2019-02-28,0.0420781493129127,VUSA,42.40325164794922,80.27,1.491971172082418,0.324959380077483,1.791670267801465,0,-0.03414637307432747
2019-03-31,0.0290058491737585,VUSA,43.63319396972656,81.09,1.4005251969488652,1.02155226111873,1.7921556892580366,0,-0.20263927774545576
